code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,287,1st,2023
BAC,Bachelor Of Arts In Communication,285,1st,2023
POLSCI,Bachelor Of Arts In Political Science,441,1st,2023
BSSW,Bachelor Of Science In Social Work,382,1st,2023
BSA,Bachelor Of Science In Accountancy,693,1st,2023
BSAIS,Bachelor Of Science In Accounting Information System,437,1st,2023
Entrep,Bs In Entrepreneurship,207,1st,2023
BSBA,Bachelor Of Science In Business Administration,286,1st,2023
BSCS,Bachelor Of Science In Computer Science,441,1st,2023
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,434,1st,2023
BSIT,Bachelor Of Science In Information Technology,448,1st,2023
CRIM,Bachelor Of Science In Criminology,273,1st,2023
BEEd,Bachelor Of Elementary Education,459,1st,2023
BSEd,Bachelor Of Secondary Education,389,1st,2023
BSCE,Bachelor Of Science In Civil Engineering,285,1st,2023
BSCpE,Bachelor Of Science In Computer Engineering,248,1st,2023
BSEE,Bachelor Of Science In Electrical Engineering,163,1st,2023
BSHM,Bachelor Of Science In Hospitality Management,154,1st,2023
BSTM,Bachelor Of Science In Tourism Management,240,1st,2023
BSBIO,Bachelor Of Science In Biology,430,1st,2023
BIT,Bachelor In Industrial Technology,480,1st,2023
BSF,Bachelor Of Science In Fisheries,399,1st,2023
BSM,Bachelor Of Science In Midwifery,475,1st,2023
BSN,Bachelor Of Science In Nursing,199,1st,2023
BSAg,Bachelor of Science in Agriculture,204,2nd,2023
BAC,Bachelor Of Arts In Communication,221,2nd,2023
POLSCI,Bachelor Of Arts In Political Science,481,2nd,2023
BSSW,Bachelor Of Science In Social Work,381,2nd,2023
BSA,Bachelor Of Science In Accountancy,643,2nd,2023
BSAIS,Bachelor Of Science In Accounting Information System,461,2nd,2023
Entrep,Bs In Entrepreneurship,253,2nd,2023
BSBA,Bachelor Of Science In Business Administration,414,2nd,2023
BSCS,Bachelor Of Science In Computer Science,171,2nd,2023
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,370,2nd,2023
BSIT,Bachelor Of Science In Information Technology,403,2nd,2023
CRIM,Bachelor Of Science In Criminology,209,2nd,2023
BEEd,Bachelor Of Elementary Education,308,2nd,2023
BSEd,Bachelor Of Secondary Education,191,2nd,2023
BSCE,Bachelor Of Science In Civil Engineering,341,2nd,2023
BSCpE,Bachelor Of Science In Computer Engineering,426,2nd,2023
BSEE,Bachelor Of Science In Electrical Engineering,391,2nd,2023
BSHM,Bachelor Of Science In Hospitality Management,404,2nd,2023
BSTM,Bachelor Of Science In Tourism Management,290,2nd,2023
BSBIO,Bachelor Of Science In Biology,407,2nd,2023
BIT,Bachelor In Industrial Technology,321,2nd,2023
BSF,Bachelor Of Science In Fisheries,220,2nd,2023
BSM,Bachelor Of Science In Midwifery,320,2nd,2023
BSN,Bachelor Of Science In Nursing,432,2nd,2023
BSAg,Bachelor of Science in Agriculture,134,Summer,2023
BAC,Bachelor Of Arts In Communication,231,Summer,2023
POLSCI,Bachelor Of Arts In Political Science,207,Summer,2023
BSSW,Bachelor Of Science In Social Work,287,Summer,2023
BSA,Bachelor Of Science In Accountancy,510,Summer,2023
BSAIS,Bachelor Of Science In Accounting Information System,178,Summer,2023
Entrep,Bs In Entrepreneurship,314,Summer,2023
BSBA,Bachelor Of Science In Business Administration,285,Summer,2023
BSCS,Bachelor Of Science In Computer Science,126,Summer,2023
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,145,Summer,2023
BSIT,Bachelor Of Science In Information Technology,162,Summer,2023
CRIM,Bachelor Of Science In Criminology,346,Summer,2023
BEEd,Bachelor Of Elementary Education,218,Summer,2023
BSEd,Bachelor Of Secondary Education,219,Summer,2023
BSCE,Bachelor Of Science In Civil Engineering,236,Summer,2023
BSCpE,Bachelor Of Science In Computer Engineering,249,Summer,2023
BSEE,Bachelor Of Science In Electrical Engineering,324,Summer,2023
BSHM,Bachelor Of Science In Hospitality Management,197,Summer,2023
BSTM,Bachelor Of Science In Tourism Management,259,Summer,2023
BSBIO,Bachelor Of Science In Biology,319,Summer,2023
BIT,Bachelor In Industrial Technology,280,Summer,2023
BSF,Bachelor Of Science In Fisheries,265,Summer,2023
BSM,Bachelor Of Science In Midwifery,334,Summer,2023
BSN,Bachelor Of Science In Nursing,340,Summer,2023
