code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,396,1st,2025
BAC,Bachelor Of Arts In Communication,582,1st,2025
POLSCI,Bachelor Of Arts In Political Science,940,1st,2025
BSSW,Bachelor Of Science In Social Work,536,1st,2025
BSA,Bachelor Of Science In Accountancy,434,1st,2025
BSAIS,Bachelor Of Science In Accounting Information System,510,1st,2025
Entrep,Bs In Entrepreneurship,325,1st,2025
BSBA,Bachelor Of Science In Business Administration,565,1st,2025
BSCS,Bachelor Of Science In Computer Science,451,1st,2025
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,573,1st,2025
BSIT,Bachelor Of Science In Information Technology,444,1st,2025
CRIM,Bachelor Of Science In Criminology,282,1st,2025
BEEd,Bachelor Of Elementary Education,191,1st,2025
BSEd,Bachelor Of Secondary Education,226,1st,2025
BSCE,Bachelor Of Science In Civil Engineering,550,1st,2025
BSCpE,Bachelor Of Science In Computer Engineering,185,1st,2025
BSEE,Bachelor Of Science In Electrical Engineering,177,1st,2025
BSHM,Bachelor Of Science In Hospitality Management,193,1st,2025
BSTM,Bachelor Of Science In Tourism Management,300,1st,2025
BSBIO,Bachelor Of Science In Biology,394,1st,2025
BIT,Bachelor In Industrial Technology,209,1st,2025
BSF,Bachelor Of Science In Fisheries,455,1st,2025
BSM,Bachelor Of Science In Midwifery,498,1st,2025
BSN,Bachelor Of Science In Nursing,339,1st,2025
BSAg,Bachelor of Science in Agriculture,493,2nd,2025
BAC,Bachelor Of Arts In Communication,558,2nd,2025
POLSCI,Bachelor Of Arts In Political Science,900,2nd,2025
BSSW,Bachelor Of Science In Social Work,379,2nd,2025
BSA,Bachelor Of Science In Accountancy,610,2nd,2025
BSAIS,Bachelor Of Science In Accounting Information System,414,2nd,2025
Entrep,Bs In Entrepreneurship,424,2nd,2025
BSBA,Bachelor Of Science In Business Administration,310,2nd,2025
BSCS,Bachelor Of Science In Computer Science,529,2nd,2025
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,532,2nd,2025
BSIT,Bachelor Of Science In Information Technology,405,2nd,2025
CRIM,Bachelor Of Science In Criminology,176,2nd,2025
BEEd,Bachelor Of Elementary Education,585,2nd,2025
BSEd,Bachelor Of Secondary Education,602,2nd,2025
BSCE,Bachelor Of Science In Civil Engineering,485,2nd,2025
BSCpE,Bachelor Of Science In Computer Engineering,461,2nd,2025
BSEE,Bachelor Of Science In Electrical Engineering,461,2nd,2025
BSHM,Bachelor Of Science In Hospitality Management,206,2nd,2025
BSTM,Bachelor Of Science In Tourism Management,323,2nd,2025
BSBIO,Bachelor Of Science In Biology,532,2nd,2025
BIT,Bachelor In Industrial Technology,178,2nd,2025
BSF,Bachelor Of Science In Fisheries,372,2nd,2025
BSM,Bachelor Of Science In Midwifery,274,2nd,2025
BSN,Bachelor Of Science In Nursing,538,2nd,2025
BSAg,Bachelor of Science in Agriculture,354,Summer,2025
BAC,Bachelor Of Arts In Communication,168,Summer,2025
POLSCI,Bachelor Of Arts In Political Science,710,Summer,2025
BSSW,Bachelor Of Science In Social Work,127,Summer,2025
BSA,Bachelor Of Science In Accountancy,163,Summer,2025
BSAIS,Bachelor Of Science In Accounting Information System,188,Summer,2025
Entrep,Bs In Entrepreneurship,297,Summer,2025
BSBA,Bachelor Of Science In Business Administration,256,Summer,2025
BSCS,Bachelor Of Science In Computer Science,345,Summer,2025
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,342,Summer,2025
BSIT,Bachelor Of Science In Information Technology,168,Summer,2025
CRIM,Bachelor Of Science In Criminology,208,Summer,2025
BEEd,Bachelor Of Elementary Education,178,Summer,2025
BSEd,Bachelor Of Secondary Education,208,Summer,2025
BSCE,Bachelor Of Science In Civil Engineering,324,Summer,2025
BSCpE,Bachelor Of Science In Computer Engineering,336,Summer,2025
BSEE,Bachelor Of Science In Electrical Engineering,373,Summer,2025
BSHM,Bachelor Of Science In Hospitality Management,363,Summer,2025
BSTM,Bachelor Of Science In Tourism Management,402,Summer,2025
BSBIO,Bachelor Of Science In Biology,215,Summer,2025
BIT,Bachelor In Industrial Technology,195,Summer,2025
BSF,Bachelor Of Science In Fisheries,125,Summer,2025
BSM,Bachelor Of Science In Midwifery,221,Summer,2025
BSN,Bachelor Of Science In Nursing,195,Summer,2025
