code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,452,1st,2019
BAC,Bachelor Of Arts In Communication,196,1st,2019
POLSCI,Bachelor Of Arts In Political Science,510,1st,2019
BSSW,Bachelor Of Science In Social Work,259,1st,2019
BSA,Bachelor Of Science In Accountancy,224,1st,2019
BSAIS,Bachelor Of Science In Accounting Information System,382,1st,2019
Entrep,Bs In Entrepreneurship,487,1st,2019
BSBA,Bachelor Of Science In Business Administration,247,1st,2019
BSCS,Bachelor Of Science In Computer Science,314,1st,2019
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,357,1st,2019
BSIT,Bachelor Of Science In Information Technology,446,1st,2019
CRIM,Bachelor Of Science In Criminology,172,1st,2019
BEEd,Bachelor Of Elementary Education,159,1st,2019
BSEd,Bachelor Of Secondary Education,250,1st,2019
BSCE,Bachelor Of Science In Civil Engineering,766,1st,2019
BSCpE,Bachelor Of Science In Computer Engineering,275,1st,2019
BSEE,Bachelor Of Science In Electrical Engineering,148,1st,2019
BSHM,Bachelor Of Science In Hospitality Management,482,1st,2019
BSTM,Bachelor Of Science In Tourism Management,496,1st,2019
BSBIO,Bachelor Of Science In Biology,407,1st,2019
BIT,Bachelor In Industrial Technology,393,1st,2019
BSF,Bachelor Of Science In Fisheries,402,1st,2019
BSM,Bachelor Of Science In Midwifery,370,1st,2019
BSN,Bachelor Of Science In Nursing,439,1st,2019
BSAg,Bachelor of Science in Agriculture,256,2nd,2019
BAC,Bachelor Of Arts In Communication,300,2nd,2019
POLSCI,Bachelor Of Arts In Political Science,298,2nd,2019
BSSW,Bachelor Of Science In Social Work,325,2nd,2019
BSA,Bachelor Of Science In Accountancy,370,2nd,2019
BSAIS,Bachelor Of Science In Accounting Information System,419,2nd,2019
Entrep,Bs In Entrepreneurship,217,2nd,2019
BSBA,Bachelor Of Science In Business Administration,215,2nd,2019
BSCS,Bachelor Of Science In Computer Science,163,2nd,2019
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,245,2nd,2019
BSIT,Bachelor Of Science In Information Technology,479,2nd,2019
CRIM,Bachelor Of Science In Criminology,176,2nd,2019
BEEd,Bachelor Of Elementary Education,240,2nd,2019
BSEd,Bachelor Of Secondary Education,251,2nd,2019
BSCE,Bachelor Of Science In Civil Engineering,870,2nd,2019
BSCpE,Bachelor Of Science In Computer Engineering,148,2nd,2019
BSEE,Bachelor Of Science In Electrical Engineering,383,2nd,2019
BSHM,Bachelor Of Science In Hospitality Management,218,2nd,2019
BSTM,Bachelor Of Science In Tourism Management,274,2nd,2019
BSBIO,Bachelor Of Science In Biology,146,2nd,2019
BIT,Bachelor In Industrial Technology,362,2nd,2019
BSF,Bachelor Of Science In Fisheries,199,2nd,2019
BSM,Bachelor Of Science In Midwifery,214,2nd,2019
BSN,Bachelor Of Science In Nursing,367,2nd,2019
BSAg,Bachelor of Science in Agriculture,123,Summer,2019
BAC,Bachelor Of Arts In Communication,346,Summer,2019
POLSCI,Bachelor Of Arts In Political Science,339,Summer,2019
BSSW,Bachelor Of Science In Social Work,161,Summer,2019
BSA,Bachelor Of Science In Accountancy,151,Summer,2019
BSAIS,Bachelor Of Science In Accounting Information System,242,Summer,2019
Entrep,Bs In Entrepreneurship,229,Summer,2019
BSBA,Bachelor Of Science In Business Administration,326,Summer,2019
BSCS,Bachelor Of Science In Computer Science,261,Summer,2019
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,270,Summer,2019
BSIT,Bachelor Of Science In Information Technology,207,Summer,2019
CRIM,Bachelor Of Science In Criminology,251,Summer,2019
BEEd,Bachelor Of Elementary Education,217,Summer,2019
BSEd,Bachelor Of Secondary Education,334,Summer,2019
BSCE,Bachelor Of Science In Civil Engineering,586,Summer,2019
BSCpE,Bachelor Of Science In Computer Engineering,190,Summer,2019
BSEE,Bachelor Of Science In Electrical Engineering,185,Summer,2019
BSHM,Bachelor Of Science In Hospitality Management,139,Summer,2019
BSTM,Bachelor Of Science In Tourism Management,250,Summer,2019
BSBIO,Bachelor Of Science In Biology,277,Summer,2019
BIT,Bachelor In Industrial Technology,346,Summer,2019
BSF,Bachelor Of Science In Fisheries,289,Summer,2019
BSM,Bachelor Of Science In Midwifery,238,Summer,2019
BSN,Bachelor Of Science In Nursing,235,Summer,2019
