code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,433,1st,2022
BAC,Bachelor Of Arts In Communication,421,1st,2022
POLSCI,Bachelor Of Arts In Political Science,372,1st,2022
BSSW,Bachelor Of Science In Social Work,174,1st,2022
BSA,Bachelor Of Science In Accountancy,334,1st,2022
BSAIS,Bachelor Of Science In Accounting Information System,378,1st,2022
Entrep,Bs In Entrepreneurship,349,1st,2022
BSBA,Bachelor Of Science In Business Administration,372,1st,2022
BSCS,Bachelor Of Science In Computer Science,201,1st,2022
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,391,1st,2022
BSIT,Bachelor Of Science In Information Technology,297,1st,2022
CRIM,Bachelor Of Science In Criminology,443,1st,2022
BEEd,Bachelor Of Elementary Education,182,1st,2022
BSEd,Bachelor Of Secondary Education,275,1st,2022
BSCE,Bachelor Of Science In Civil Engineering,646,1st,2022
BSCpE,Bachelor Of Science In Computer Engineering,350,1st,2022
BSEE,Bachelor Of Science In Electrical Engineering,334,1st,2022
BSHM,Bachelor Of Science In Hospitality Management,421,1st,2022
BSTM,Bachelor Of Science In Tourism Management,197,1st,2022
BSBIO,Bachelor Of Science In Biology,432,1st,2022
BIT,Bachelor In Industrial Technology,333,1st,2022
BSF,Bachelor Of Science In Fisheries,239,1st,2022
BSM,Bachelor Of Science In Midwifery,291,1st,2022
BSN,Bachelor Of Science In Nursing,276,1st,2022
BSAg,Bachelor of Science in Agriculture,377,2nd,2022
BAC,Bachelor Of Arts In Communication,136,2nd,2022
POLSCI,Bachelor Of Arts In Political Science,392,2nd,2022
BSSW,Bachelor Of Science In Social Work,445,2nd,2022
BSA,Bachelor Of Science In Accountancy,153,2nd,2022
BSAIS,Bachelor Of Science In Accounting Information System,334,2nd,2022
Entrep,Bs In Entrepreneurship,310,2nd,2022
BSBA,Bachelor Of Science In Business Administration,134,2nd,2022
BSCS,Bachelor Of Science In Computer Science,389,2nd,2022
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,326,2nd,2022
BSIT,Bachelor Of Science In Information Technology,284,2nd,2022
CRIM,Bachelor Of Science In Criminology,196,2nd,2022
BEEd,Bachelor Of Elementary Education,340,2nd,2022
BSEd,Bachelor Of Secondary Education,230,2nd,2022
BSCE,Bachelor Of Science In Civil Engineering,588,2nd,2022
BSCpE,Bachelor Of Science In Computer Engineering,291,2nd,2022
BSEE,Bachelor Of Science In Electrical Engineering,380,2nd,2022
BSHM,Bachelor Of Science In Hospitality Management,324,2nd,2022
BSTM,Bachelor Of Science In Tourism Management,297,2nd,2022
BSBIO,Bachelor Of Science In Biology,209,2nd,2022
BIT,Bachelor In Industrial Technology,306,2nd,2022
BSF,Bachelor Of Science In Fisheries,296,2nd,2022
BSM,Bachelor Of Science In Midwifery,262,2nd,2022
BSN,Bachelor Of Science In Nursing,249,2nd,2022
BSAg,Bachelor of Science in Agriculture,229,Summer,2022
BAC,Bachelor Of Arts In Communication,171,Summer,2022
POLSCI,Bachelor Of Arts In Political Science,105,Summer,2022
BSSW,Bachelor Of Science In Social Work,186,Summer,2022
BSA,Bachelor Of Science In Accountancy,110,Summer,2022
BSAIS,Bachelor Of Science In Accounting Information System,191,Summer,2022
Entrep,Bs In Entrepreneurship,178,Summer,2022
BSBA,Bachelor Of Science In Business Administration,122,Summer,2022
BSCS,Bachelor Of Science In Computer Science,270,Summer,2022
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,112,Summer,2022
BSIT,Bachelor Of Science In Information Technology,218,Summer,2022
CRIM,Bachelor Of Science In Criminology,217,Summer,2022
BEEd,Bachelor Of Elementary Education,259,Summer,2022
BSEd,Bachelor Of Secondary Education,201,Summer,2022
BSCE,Bachelor Of Science In Civil Engineering,397,Summer,2022
BSCpE,Bachelor Of Science In Computer Engineering,231,Summer,2022
BSEE,Bachelor Of Science In Electrical Engineering,209,Summer,2022
BSHM,Bachelor Of Science In Hospitality Management,259,Summer,2022
BSTM,Bachelor Of Science In Tourism Management,128,Summer,2022
BSBIO,Bachelor Of Science In Biology,117,Summer,2022
BIT,Bachelor In Industrial Technology,168,Summer,2022
BSF,Bachelor Of Science In Fisheries,103,Summer,2022
BSM,Bachelor Of Science In Midwifery,282,Summer,2022
BSN,Bachelor Of Science In Nursing,110,Summer,2022
