code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,519,1st,2024
BAC,Bachelor Of Arts In Communication,659,1st,2024
POLSCI,Bachelor Of Arts In Political Science,567,1st,2024
BSSW,Bachelor Of Science In Social Work,508,1st,2024
BSA,Bachelor Of Science In Accountancy,219,1st,2024
BSAIS,Bachelor Of Science In Accounting Information System,512,1st,2024
Entrep,Bs In Entrepreneurship,369,1st,2024
BSBA,Bachelor Of Science In Business Administration,296,1st,2024
BSCS,Bachelor Of Science In Computer Science,514,1st,2024
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,342,1st,2024
BSIT,Bachelor Of Science In Information Technology,353,1st,2024
CRIM,Bachelor Of Science In Criminology,218,1st,2024
BEEd,Bachelor Of Elementary Education,507,1st,2024
BSEd,Bachelor Of Secondary Education,503,1st,2024
BSCE,Bachelor Of Science In Civil Engineering,358,1st,2024
BSCpE,Bachelor Of Science In Computer Engineering,444,1st,2024
BSEE,Bachelor Of Science In Electrical Engineering,467,1st,2024
BSHM,Bachelor Of Science In Hospitality Management,304,1st,2024
BSTM,Bachelor Of Science In Tourism Management,597,1st,2024
BSBIO,Bachelor Of Science In Biology,225,1st,2024
BIT,Bachelor In Industrial Technology,640,1st,2024
BSF,Bachelor Of Science In Fisheries,254,1st,2024
BSM,Bachelor Of Science In Midwifery,287,1st,2024
BSN,Bachelor Of Science In Nursing,861,1st,2024
BSAg,Bachelor of Science in Agriculture,482,2nd,2024
BAC,Bachelor Of Arts In Communication,547,2nd,2024
POLSCI,Bachelor Of Arts In Political Science,395,2nd,2024
BSSW,Bachelor Of Science In Social Work,567,2nd,2024
BSA,Bachelor Of Science In Accountancy,287,2nd,2024
BSAIS,Bachelor Of Science In Accounting Information System,406,2nd,2024
Entrep,Bs In Entrepreneurship,508,2nd,2024
BSBA,Bachelor Of Science In Business Administration,709,2nd,2024
BSCS,Bachelor Of Science In Computer Science,536,2nd,2024
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,263,2nd,2024
BSIT,Bachelor Of Science In Information Technology,518,2nd,2024
CRIM,Bachelor Of Science In Criminology,470,2nd,2024
BEEd,Bachelor Of Elementary Education,523,2nd,2024
BSEd,Bachelor Of Secondary Education,611,2nd,2024
BSCE,Bachelor Of Science In Civil Engineering,509,2nd,2024
BSCpE,Bachelor Of Science In Computer Engineering,619,2nd,2024
BSEE,Bachelor Of Science In Electrical Engineering,216,2nd,2024
BSHM,Bachelor Of Science In Hospitality Management,261,2nd,2024
BSTM,Bachelor Of Science In Tourism Management,516,2nd,2024
BSBIO,Bachelor Of Science In Biology,482,2nd,2024
BIT,Bachelor In Industrial Technology,419,2nd,2024
BSF,Bachelor Of Science In Fisheries,432,2nd,2024
BSM,Bachelor Of Science In Midwifery,327,2nd,2024
BSN,Bachelor Of Science In Nursing,903,2nd,2024
BSAg,Bachelor of Science in Agriculture,229,Summer,2024
BAC,Bachelor Of Arts In Communication,448,Summer,2024
POLSCI,Bachelor Of Arts In Political Science,425,Summer,2024
BSSW,Bachelor Of Science In Social Work,170,Summer,2024
BSA,Bachelor Of Science In Accountancy,309,Summer,2024
BSAIS,Bachelor Of Science In Accounting Information System,317,Summer,2024
Entrep,Bs In Entrepreneurship,389,Summer,2024
BSBA,Bachelor Of Science In Business Administration,160,Summer,2024
BSCS,Bachelor Of Science In Computer Science,354,Summer,2024
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,397,Summer,2024
BSIT,Bachelor Of Science In Information Technology,318,Summer,2024
CRIM,Bachelor Of Science In Criminology,197,Summer,2024
BEEd,Bachelor Of Elementary Education,220,Summer,2024
BSEd,Bachelor Of Secondary Education,439,Summer,2024
BSCE,Bachelor Of Science In Civil Engineering,207,Summer,2024
BSCpE,Bachelor Of Science In Computer Engineering,385,Summer,2024
BSEE,Bachelor Of Science In Electrical Engineering,367,Summer,2024
BSHM,Bachelor Of Science In Hospitality Management,446,Summer,2024
BSTM,Bachelor Of Science In Tourism Management,369,Summer,2024
BSBIO,Bachelor Of Science In Biology,177,Summer,2024
BIT,Bachelor In Industrial Technology,378,Summer,2024
BSF,Bachelor Of Science In Fisheries,292,Summer,2024
BSM,Bachelor Of Science In Midwifery,160,Summer,2024
BSN,Bachelor Of Science In Nursing,783,Summer,2024
