code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,223,1st,2016
BAC,Bachelor Of Arts In Communication,100,1st,2016
POLSCI,Bachelor Of Arts In Political Science,133,1st,2016
BSSW,Bachelor Of Science In Social Work,161,1st,2016
BSA,Bachelor Of Science In Accountancy,111,1st,2016
BSAIS,Bachelor Of Science In Accounting Information System,91,1st,2016
Entrep,Bs In Entrepreneurship,233,1st,2016
BSBA,Bachelor Of Science In Business Administration,169,1st,2016
BSCS,Bachelor Of Science In Computer Science,243,1st,2016
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,129,1st,2016
BSIT,Bachelor Of Science In Information Technology,294,1st,2016
CRIM,Bachelor Of Science In Criminology,185,1st,2016
BEEd,Bachelor Of Elementary Education,274,1st,2016
BSEd,Bachelor Of Secondary Education,92,1st,2016
BSCE,Bachelor Of Science In Civil Engineering,109,1st,2016
BSCpE,Bachelor Of Science In Computer Engineering,270,1st,2016
BSEE,Bachelor Of Science In Electrical Engineering,152,1st,2016
BSHM,Bachelor Of Science In Hospitality Management,251,1st,2016
BSTM,Bachelor Of Science In Tourism Management,207,1st,2016
BSBIO,Bachelor Of Science In Biology,182,1st,2016
BIT,Bachelor In Industrial Technology,263,1st,2016
BSF,Bachelor Of Science In Fisheries,253,1st,2016
BSM,Bachelor Of Science In Midwifery,211,1st,2016
BSN,Bachelor Of Science In Nursing,488,1st,2016
BSAg,Bachelor of Science in Agriculture,228,2nd,2016
BAC,Bachelor Of Arts In Communication,164,2nd,2016
POLSCI,Bachelor Of Arts In Political Science,274,2nd,2016
BSSW,Bachelor Of Science In Social Work,216,2nd,2016
BSA,Bachelor Of Science In Accountancy,138,2nd,2016
BSAIS,Bachelor Of Science In Accounting Information System,254,2nd,2016
Entrep,Bs In Entrepreneurship,255,2nd,2016
BSBA,Bachelor Of Science In Business Administration,299,2nd,2016
BSCS,Bachelor Of Science In Computer Science,300,2nd,2016
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,226,2nd,2016
BSIT,Bachelor Of Science In Information Technology,146,2nd,2016
CRIM,Bachelor Of Science In Criminology,292,2nd,2016
BEEd,Bachelor Of Elementary Education,252,2nd,2016
BSEd,Bachelor Of Secondary Education,141,2nd,2016
BSCE,Bachelor Of Science In Civil Engineering,279,2nd,2016
BSCpE,Bachelor Of Science In Computer Engineering,113,2nd,2016
BSEE,Bachelor Of Science In Electrical Engineering,232,2nd,2016
BSHM,Bachelor Of Science In Hospitality Management,178,2nd,2016
BSTM,Bachelor Of Science In Tourism Management,160,2nd,2016
BSBIO,Bachelor Of Science In Biology,150,2nd,2016
BIT,Bachelor In Industrial Technology,99,2nd,2016
BSF,Bachelor Of Science In Fisheries,149,2nd,2016
BSM,Bachelor Of Science In Midwifery,151,2nd,2016
BSN,Bachelor Of Science In Nursing,421,2nd,2016
BSAg,Bachelor of Science in Agriculture,145,Summer,2016
BAC,Bachelor Of Arts In Communication,72,Summer,2016
POLSCI,Bachelor Of Arts In Political Science,83,Summer,2016
BSSW,Bachelor Of Science In Social Work,195,Summer,2016
BSA,Bachelor Of Science In Accountancy,82,Summer,2016
BSAIS,Bachelor Of Science In Accounting Information System,148,Summer,2016
Entrep,Bs In Entrepreneurship,192,Summer,2016
BSBA,Bachelor Of Science In Business Administration,166,Summer,2016
BSCS,Bachelor Of Science In Computer Science,98,Summer,2016
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,176,Summer,2016
BSIT,Bachelor Of Science In Information Technology,153,Summer,2016
CRIM,Bachelor Of Science In Criminology,182,Summer,2016
BEEd,Bachelor Of Elementary Education,129,Summer,2016
BSEd,Bachelor Of Secondary Education,204,Summer,2016
BSCE,Bachelor Of Science In Civil Engineering,176,Summer,2016
BSCpE,Bachelor Of Science In Computer Engineering,106,Summer,2016
BSEE,Bachelor Of Science In Electrical Engineering,95,Summer,2016
BSHM,Bachelor Of Science In Hospitality Management,77,Summer,2016
BSTM,Bachelor Of Science In Tourism Management,151,Summer,2016
BSBIO,Bachelor Of Science In Biology,96,Summer,2016
BIT,Bachelor In Industrial Technology,96,Summer,2016
BSF,Bachelor Of Science In Fisheries,206,Summer,2016
BSM,Bachelor Of Science In Midwifery,136,Summer,2016
BSN,Bachelor Of Science In Nursing,362,Summer,2016
