code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,359,1st,2021
BAC,Bachelor Of Arts In Communication,130,1st,2021
POLSCI,Bachelor Of Arts In Political Science,379,1st,2021
BSSW,Bachelor Of Science In Social Work,200,1st,2021
BSA,Bachelor Of Science In Accountancy,299,1st,2021
BSAIS,Bachelor Of Science In Accounting Information System,218,1st,2021
Entrep,Bs In Entrepreneurship,263,1st,2021
BSBA,Bachelor Of Science In Business Administration,137,1st,2021
BSCS,Bachelor Of Science In Computer Science,190,1st,2021
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,256,1st,2021
BSIT,Bachelor Of Science In Information Technology,210,1st,2021
CRIM,Bachelor Of Science In Criminology,210,1st,2021
BEEd,Bachelor Of Elementary Education,379,1st,2021
BSEd,Bachelor Of Secondary Education,218,1st,2021
BSCE,Bachelor Of Science In Civil Engineering,201,1st,2021
BSCpE,Bachelor Of Science In Computer Engineering,193,1st,2021
BSEE,Bachelor Of Science In Electrical Engineering,361,1st,2021
BSHM,Bachelor Of Science In Hospitality Management,325,1st,2021
BSTM,Bachelor Of Science In Tourism Management,194,1st,2021
BSBIO,Bachelor Of Science In Biology,179,1st,2021
BIT,Bachelor In Industrial Technology,147,1st,2021
BSF,Bachelor Of Science In Fisheries,131,1st,2021
BSM,Bachelor Of Science In Midwifery,169,1st,2021
BSN,Bachelor Of Science In Nursing,553,1st,2021
BSAg,Bachelor of Science in Agriculture,308,2nd,2021
BAC,Bachelor Of Arts In Communication,321,2nd,2021
POLSCI,Bachelor Of Arts In Political Science,171,2nd,2021
BSSW,Bachelor Of Science In Social Work,179,2nd,2021
BSA,Bachelor Of Science In Accountancy,223,2nd,2021
BSAIS,Bachelor Of Science In Accounting Information System,350,2nd,2021
Entrep,Bs In Entrepreneurship,288,2nd,2021
BSBA,Bachelor Of Science In Business Administration,186,2nd,2021
BSCS,Bachelor Of Science In Computer Science,157,2nd,2021
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,165,2nd,2021
BSIT,Bachelor Of Science In Information Technology,140,2nd,2021
CRIM,Bachelor Of Science In Criminology,238,2nd,2021
BEEd,Bachelor Of Elementary Education,312,2nd,2021
BSEd,Bachelor Of Secondary Education,358,2nd,2021
BSCE,Bachelor Of Science In Civil Engineering,195,2nd,2021
BSCpE,Bachelor Of Science In Computer Engineering,185,2nd,2021
BSEE,Bachelor Of Science In Electrical Engineering,283,2nd,2021
BSHM,Bachelor Of Science In Hospitality Management,348,2nd,2021
BSTM,Bachelor Of Science In Tourism Management,299,2nd,2021
BSBIO,Bachelor Of Science In Biology,126,2nd,2021
BIT,Bachelor In Industrial Technology,202,2nd,2021
BSF,Bachelor Of Science In Fisheries,150,2nd,2021
BSM,Bachelor Of Science In Midwifery,287,2nd,2021
BSN,Bachelor Of Science In Nursing,657,2nd,2021
BSAg,Bachelor of Science in Agriculture,272,Summer,2021
BAC,Bachelor Of Arts In Communication,212,Summer,2021
POLSCI,Bachelor Of Arts In Political Science,99,Summer,2021
BSSW,Bachelor Of Science In Social Work,130,Summer,2021
BSA,Bachelor Of Science In Accountancy,211,Summer,2021
BSAIS,Bachelor Of Science In Accounting Information System,120,Summer,2021
Entrep,Bs In Entrepreneurship,254,Summer,2021
BSBA,Bachelor Of Science In Business Administration,180,Summer,2021
BSCS,Bachelor Of Science In Computer Science,254,Summer,2021
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,265,Summer,2021
BSIT,Bachelor Of Science In Information Technology,260,Summer,2021
CRIM,Bachelor Of Science In Criminology,100,Summer,2021
BEEd,Bachelor Of Elementary Education,250,Summer,2021
BSEd,Bachelor Of Secondary Education,102,Summer,2021
BSCE,Bachelor Of Science In Civil Engineering,130,Summer,2021
BSCpE,Bachelor Of Science In Computer Engineering,221,Summer,2021
BSEE,Bachelor Of Science In Electrical Engineering,214,Summer,2021
BSHM,Bachelor Of Science In Hospitality Management,263,Summer,2021
BSTM,Bachelor Of Science In Tourism Management,170,Summer,2021
BSBIO,Bachelor Of Science In Biology,171,Summer,2021
BIT,Bachelor In Industrial Technology,143,Summer,2021
BSF,Bachelor Of Science In Fisheries,100,Summer,2021
BSM,Bachelor Of Science In Midwifery,98,Summer,2021
BSN,Bachelor Of Science In Nursing,317,Summer,2021
