code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,181,1st,2020
BAC,Bachelor Of Arts In Communication,229,1st,2020
POLSCI,Bachelor Of Arts In Political Science,223,1st,2020
BSSW,Bachelor Of Science In Social Work,323,1st,2020
BSA,Bachelor Of Science In Accountancy,274,1st,2020
BSAIS,Bachelor Of Science In Accounting Information System,298,1st,2020
Entrep,Bs In Entrepreneurship,177,1st,2020
BSBA,Bachelor Of Science In Business Administration,400,1st,2020
BSCS,Bachelor Of Science In Computer Science,391,1st,2020
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,227,1st,2020
BSIT,Bachelor Of Science In Information Technology,423,1st,2020
CRIM,Bachelor Of Science In Criminology,399,1st,2020
BEEd,Bachelor Of Elementary Education,383,1st,2020
BSEd,Bachelor Of Secondary Education,237,1st,2020
BSCE,Bachelor Of Science In Civil Engineering,311,1st,2020
BSCpE,Bachelor Of Science In Computer Engineering,134,1st,2020
BSEE,Bachelor Of Science In Electrical Engineering,154,1st,2020
BSHM,Bachelor Of Science In Hospitality Management,276,1st,2020
BSTM,Bachelor Of Science In Tourism Management,352,1st,2020
BSBIO,Bachelor Of Science In Biology,257,1st,2020
BIT,Bachelor In Industrial Technology,230,1st,2020
BSF,Bachelor Of Science In Fisheries,166,1st,2020
BSM,Bachelor Of Science In Midwifery,289,1st,2020
BSN,Bachelor Of Science In Nursing,532,1st,2020
BSAg,Bachelor of Science in Agriculture,140,2nd,2020
BAC,Bachelor Of Arts In Communication,291,2nd,2020
POLSCI,Bachelor Of Arts In Political Science,142,2nd,2020
BSSW,Bachelor Of Science In Social Work,411,2nd,2020
BSA,Bachelor Of Science In Accountancy,193,2nd,2020
BSAIS,Bachelor Of Science In Accounting Information System,215,2nd,2020
Entrep,Bs In Entrepreneurship,329,2nd,2020
BSBA,Bachelor Of Science In Business Administration,305,2nd,2020
BSCS,Bachelor Of Science In Computer Science,329,2nd,2020
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,360,2nd,2020
BSIT,Bachelor Of Science In Information Technology,153,2nd,2020
CRIM,Bachelor Of Science In Criminology,153,2nd,2020
BEEd,Bachelor Of Elementary Education,224,2nd,2020
BSEd,Bachelor Of Secondary Education,391,2nd,2020
BSCE,Bachelor Of Science In Civil Engineering,186,2nd,2020
BSCpE,Bachelor Of Science In Computer Engineering,200,2nd,2020
BSEE,Bachelor Of Science In Electrical Engineering,159,2nd,2020
BSHM,Bachelor Of Science In Hospitality Management,135,2nd,2020
BSTM,Bachelor Of Science In Tourism Management,237,2nd,2020
BSBIO,Bachelor Of Science In Biology,137,2nd,2020
BIT,Bachelor In Industrial Technology,145,2nd,2020
BSF,Bachelor Of Science In Fisheries,302,2nd,2020
BSM,Bachelor Of Science In Midwifery,302,2nd,2020
BSN,Bachelor Of Science In Nursing,698,2nd,2020
BSAg,Bachelor of Science in Agriculture,160,Summer,2020
BAC,Bachelor Of Arts In Communication,187,Summer,2020
POLSCI,Bachelor Of Arts In Political Science,260,Summer,2020
BSSW,Bachelor Of Science In Social Work,87,Summer,2020
BSA,Bachelor Of Science In Accountancy,111,Summer,2020
BSAIS,Bachelor Of Science In Accounting Information System,220,Summer,2020
Entrep,Bs In Entrepreneurship,243,Summer,2020
BSBA,Bachelor Of Science In Business Administration,136,Summer,2020
BSCS,Bachelor Of Science In Computer Science,201,Summer,2020
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,174,Summer,2020
BSIT,Bachelor Of Science In Information Technology,262,Summer,2020
CRIM,Bachelor Of Science In Criminology,107,Summer,2020
BEEd,Bachelor Of Elementary Education,220,Summer,2020
BSEd,Bachelor Of Secondary Education,97,Summer,2020
BSCE,Bachelor Of Science In Civil Engineering,302,Summer,2020
BSCpE,Bachelor Of Science In Computer Engineering,155,Summer,2020
BSEE,Bachelor Of Science In Electrical Engineering,154,Summer,2020
BSHM,Bachelor Of Science In Hospitality Management,113,Summer,2020
BSTM,Bachelor Of Science In Tourism Management,303,Summer,2020
BSBIO,Bachelor Of Science In Biology,247,Summer,2020
BIT,Bachelor In Industrial Technology,235,Summer,2020
BSF,Bachelor Of Science In Fisheries,223,Summer,2020
BSM,Bachelor Of Science In Midwifery,244,Summer,2020
BSN,Bachelor Of Science In Nursing,522,Summer,2020
