code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,272,1st,2018
BAC,Bachelor Of Arts In Communication,174,1st,2018
POLSCI,Bachelor Of Arts In Political Science,389,1st,2018
BSSW,Bachelor Of Science In Social Work,352,1st,2018
BSA,Bachelor Of Science In Accountancy,281,1st,2018
BSAIS,Bachelor Of Science In Accounting Information System,390,1st,2018
Entrep,Bs In Entrepreneurship,277,1st,2018
BSBA,Bachelor Of Science In Business Administration,149,1st,2018
BSCS,Bachelor Of Science In Computer Science,164,1st,2018
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,253,1st,2018
BSIT,Bachelor Of Science In Information Technology,381,1st,2018
CRIM,Bachelor Of Science In Criminology,245,1st,2018
BEEd,Bachelor Of Elementary Education,412,1st,2018
BSEd,Bachelor Of Secondary Education,415,1st,2018
BSCE,Bachelor Of Science In Civil Engineering,626,1st,2018
BSCpE,Bachelor Of Science In Computer Engineering,346,1st,2018
BSEE,Bachelor Of Science In Electrical Engineering,425,1st,2018
BSHM,Bachelor Of Science In Hospitality Management,435,1st,2018
BSTM,Bachelor Of Science In Tourism Management,168,1st,2018
BSBIO,Bachelor Of Science In Biology,437,1st,2018
BIT,Bachelor In Industrial Technology,338,1st,2018
BSF,Bachelor Of Science In Fisheries,327,1st,2018
BSM,Bachelor Of Science In Midwifery,223,1st,2018
BSN,Bachelor Of Science In Nursing,245,1st,2018
BSAg,Bachelor of Science in Agriculture,256,2nd,2018
BAC,Bachelor Of Arts In Communication,170,2nd,2018
POLSCI,Bachelor Of Arts In Political Science,324,2nd,2018
BSSW,Bachelor Of Science In Social Work,432,2nd,2018
BSA,Bachelor Of Science In Accountancy,321,2nd,2018
BSAIS,Bachelor Of Science In Accounting Information System,245,2nd,2018
Entrep,Bs In Entrepreneurship,136,2nd,2018
BSBA,Bachelor Of Science In Business Administration,274,2nd,2018
BSCS,Bachelor Of Science In Computer Science,248,2nd,2018
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,304,2nd,2018
BSIT,Bachelor Of Science In Information Technology,196,2nd,2018
CRIM,Bachelor Of Science In Criminology,313,2nd,2018
BEEd,Bachelor Of Elementary Education,271,2nd,2018
BSEd,Bachelor Of Secondary Education,302,2nd,2018
BSCE,Bachelor Of Science In Civil Engineering,612,2nd,2018
BSCpE,Bachelor Of Science In Computer Engineering,371,2nd,2018
BSEE,Bachelor Of Science In Electrical Engineering,131,2nd,2018
BSHM,Bachelor Of Science In Hospitality Management,426,2nd,2018
BSTM,Bachelor Of Science In Tourism Management,396,2nd,2018
BSBIO,Bachelor Of Science In Biology,278,2nd,2018
BIT,Bachelor In Industrial Technology,244,2nd,2018
BSF,Bachelor Of Science In Fisheries,285,2nd,2018
BSM,Bachelor Of Science In Midwifery,280,2nd,2018
BSN,Bachelor Of Science In Nursing,297,2nd,2018
BSAg,Bachelor of Science in Agriculture,120,Summer,2018
BAC,Bachelor Of Arts In Communication,232,Summer,2018
POLSCI,Bachelor Of Arts In Political Science,166,Summer,2018
BSSW,Bachelor Of Science In Social Work,260,Summer,2018
BSA,Bachelor Of Science In Accountancy,129,Summer,2018
BSAIS,Bachelor Of Science In Accounting Information System,262,Summer,2018
Entrep,Bs In Entrepreneurship,191,Summer,2018
BSBA,Bachelor Of Science In Business Administration,236,Summer,2018
BSCS,Bachelor Of Science In Computer Science,180,Summer,2018
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,252,Summer,2018
BSIT,Bachelor Of Science In Information Technology,196,Summer,2018
CRIM,Bachelor Of Science In Criminology,198,Summer,2018
BEEd,Bachelor Of Elementary Education,126,Summer,2018
BSEd,Bachelor Of Secondary Education,200,Summer,2018
BSCE,Bachelor Of Science In Civil Engineering,425,Summer,2018
BSCpE,Bachelor Of Science In Computer Engineering,139,Summer,2018
BSEE,Bachelor Of Science In Electrical Engineering,268,Summer,2018
BSHM,Bachelor Of Science In Hospitality Management,252,Summer,2018
BSTM,Bachelor Of Science In Tourism Management,221,Summer,2018
BSBIO,Bachelor Of Science In Biology,160,Summer,2018
BIT,Bachelor In Industrial Technology,183,Summer,2018
BSF,Bachelor Of Science In Fisheries,258,Summer,2018
BSM,Bachelor Of Science In Midwifery,225,Summer,2018
BSN,Bachelor Of Science In Nursing,251,Summer,2018
